image_urls,jav_id,jav_magnet,jav_time,jav_update,jav_url
https://pics.javcdn.pw/cover/80sn_b.jpg,SHMO-169,"[{'magnetUrl': 'magnet:?xt=urn:btih:7E0CFF792B14777DFF17399212A434449AE2A2B3&dn=shmo-169.mp4', 'size': '661.09MB'}, {'magnetUrl': 'magnet:?xt=urn:btih:CF131E9D3B4EA5CFF8B8625ECE68ED30700C195D&dn=SHMO-169.mp4', 'size': '2.86GB'}]", 69分鐘, 2020-11-27,https://www.fanbus.in/SHMO-169
https://pics.javcdn.pw/cover/809o_b.jpg,BSTC-049,"[{'magnetUrl': 'magnet:?xt=urn:btih:303A5111FB7E6FD7FACDD1EA6E54D4983954F413&dn=BSTC049', 'size': '1.22GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:BDC2D10E8B86B200979BB7ECE727EE64CE72A5AA&dn=bstc-049.mp4', 'size': '1.12GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:7B454830E14C0F6CB67567180EF3FE21D5DAB92F&dn=BSTC-049.mp4', 'size': '5.02GB'}]", 120分鐘, 2020-11-28,https://www.fanbus.in/BSTC-049
https://pics.javcdn.pw/cover/809m_b.jpg,OMT-018,"[{'magnetUrl': 'magnet:?xt=urn:btih:07669BB2D50EFA55C8EC73A2331D48F9839ED9C3&dn=OMT018', 'size': '1.19GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:4EBC94D8C4EAA87E32EAA7E88C6EC82BB5A5AB60&dn=omt-018.mp4', 'size': '1.09GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:EC1B5F6023969C1D2710DE11FA1791CAF1E3A5F2&dn=OMT-018.mp4', 'size': '4.91GB'}]", 117分鐘, 2020-11-28,https://www.fanbus.in/OMT-018
https://pics.javcdn.pw/cover/7yw9_b.jpg,ANX-129,"[{'magnetUrl': 'magnet:?xt=urn:btih:74BEBD79B9417077DC870A22D13025C5711E42A4&dn=anx-129.mp4', 'size': '1.07GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:2C7F34544BC2C10D91B2158B54F3DFA283B1B3EC&dn=ANX-129.mp4', 'size': '4.79GB'}]", 115分鐘, 2020-11-29,https://www.fanbus.in/ANX-129
https://pics.javcdn.pw/cover/7yw6_b.jpg,DBER-090,"[{'magnetUrl': 'magnet:?xt=urn:btih:6B01303A863F35BAA9C3C339DAB80F3FAAA3E214&dn=dber-090.mp4', 'size': '1.29GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:B2350059220EE4A88FB16F26A0A9CA82E214EF92&dn=DBER-090.mp4', 'size': '5.74GB'}]", 138分鐘, 2020-11-29,https://www.fanbus.in/DBER-090
https://pics.javcdn.pw/cover/7yw5_b.jpg,DBVB-033,"[{'magnetUrl': 'magnet:?xt=urn:btih:44CA513F20DCF95810FEC50DE13C35C6F0D8BA63&dn=dbvb-033.mp4', 'size': '928.27MB'}, {'magnetUrl': 'magnet:?xt=urn:btih:D595D4ED540B98122977C77F050CF027F1465A00&dn=DBVB-033.mp4', 'size': '4.06GB'}]", 98分鐘, 2020-11-29,https://www.fanbus.in/DBVB-033
https://pics.javcdn.pw/cover/7yvj_b.jpg,BAB-017,"[{'magnetUrl': 'magnet:?xt=urn:btih:C0513C4BBE1DA91A817D7A47E2623FDC6F86498F&dn=BAB017', 'size': '853.30MB'}, {'magnetUrl': 'magnet:?xt=urn:btih:0FB008F22CD856D2C2E2CDF1C026B8AEA9605593&dn=BAB-017.mp4', 'size': '3.27GB'}]", 80分鐘, 2020-11-29,https://www.fanbus.in/BAB-017
https://pics.javcdn.pw/cover/7yw0_b.jpg,DBER-091,"[{'magnetUrl': 'magnet:?xt=urn:btih:F1ABA7CE9D9CA2109782E11F91D4B9347BAAA578&dn=DBER-091.mp4', 'size': '6.25GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:3A093DCBCC44996F8C08C34B77FEA23581A3B222&dn=dber-091-Idolred.mp4', 'size': '6.25GB'}]", 150分鐘, 2020-11-29,https://www.fanbus.in/DBER-091
https://pics.javcdn.pw/cover/7yvf_b.jpg,CHCH-002,"[{'magnetUrl': 'magnet:?xt=urn:btih:4D6C6B7DB5625FD3BFB71CB59A89D0758FA2B6A2&dn=CHCH-002.mp4', 'size': '5.54GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:DA442573B709AE81EAD904EAA125F91E85E19467&dn=chch-002-Idolred.mp4', 'size': '5.54GB'}]", 133分鐘, 2020-11-29,https://www.fanbus.in/CHCH-002
https://pics.dmm.co.jp/digital/video/nkd00265/nkd00265pl.jpg,NKD-265,"[{'magnetUrl': 'magnet:?xt=urn:btih:1528F97699DF2467F368325ABE09AB527FFCEB39&dn=NKD-265.mp4', 'size': '5.66GB'}, {'magnetUrl': 'magnet:?xt=urn:btih:5957AC1F0AE00141B48613884F43A60E0A86D5C9&dn=nkd-265-Idolred.mp4', 'size': '5.66GB'}]", 135分鐘, 2020-11-29,https://www.fanbus.in/NKD-265
